Neighborhood,Fiber_Available,FWA_Available,Mobile_Available,connectivity_score
Al Amal Dist.,0,1,1,2
Al Namudhajiyah Dist.,0,1,1,2
Al Jarradiyah Dist.,1,1,1,3
Al Sinaiyah Dist.,0,1,1,2
Manfuha Al Jadidah Dist.,0,1,1,2
Al Fakhiriyah Dist.,0,1,1,2
Al Dirah Dist.,0,1,1,2
East Umm Al Hamam Dist.,0,1,1,2
Al Sharafiyah Dist.,0,1,1,2
Al Hada Dist.,0,1,1,2
North Mathar Dist.,0,1,1,2
West Umm Al Hamam Dist.,1,1,1,3
Ar Rahmaniyah Dist.,0,1,1,2
Laban Dist.,0,1,1,2
Ar Rafiah Dist.,0,1,1,2
Al Shohda Dist.,0,1,1,2
King Fahd Dist.,1,1,1,3
Al Suwaidi Dist.,0,1,1,2
Al Hazm Dist.,0,1,1,2
Utayqah Dist.,0,1,1,2
Al Murabba Dist.,0,1,1,2
Al Falah Dist.,0,1,1,2
Al Nada Dist.,1,1,1,3
Al Mursalat Dist.,0,1,1,2
Al Nuzha Dist.,0,1,1,2
Al Woroud Dist.,1,1,1,3
King Faisal Dist.,1,1,1,3
2nd Industrial City,0,1,1,2
Al Aziziyah Dist.,1,1,1,3
Al Mansurah Dist.,1,1,1,3
Ghobairah Dist.,0,1,1,2
Al Farooq Dist.,0,1,1,2
Al Faisaliyah Dist.,0,1,1,2
Al Khalidiyah Dist.,0,1,1,2
Al Jazeerah Dist.,0,1,1,2
Al Saadah Dist.,1,1,1,3
Al Nasiriyah Dist.,0,1,1,2
Al Manakh Dist.,0,1,1,2
Al Difaa Dist.,0,1,1,2
Al Noor Dist.,0,1,1,2
King Abdullah Dist.,0,1,1,2
Al Wahah Dist.,0,1,1,2
Salahuddin Dist.,0,1,1,2
King Abdulaziz Dist.,0,1,1,2
Al Wizarat Dist.,1,1,1,3
Skirinah Dist.,0,1,1,2
Ar Rabwah Dist.,1,1,1,3
Jareer Dist.,0,1,1,2
Al Mathar Dist.,0,1,1,2
As Salhiyah Dist.,0,1,1,2
Al Malaz Dist.,0,1,1,2
Manfuhah Dist.,0,1,1,2
Olaishah Dist.,0,1,1,2
Al Nahdah Dist.,0,1,1,2
Al Khaleej Dist.,0,1,1,2
Al Dhubbat Dist.,1,1,1,3
West Suwaidi Dist.,0,1,1,2
Dirab Dist.,0,1,1,2
Ohod Dist.,0,1,1,2
Namar Dist.,0,1,1,2
Al Shifa Dist.,0,1,1,2
Al Muhammadiyah Dist.,1,1,1,3
Al Sulaimaniyah Dist.,1,1,1,3
Al Marwah Dist.,1,1,1,3
Okaz Dist.,0,1,1,2
Shubra Dist.,0,1,1,2
Al Zahrah Dist.,1,1,1,3
Siyah Dist.,0,1,1,2
Sultanah Dist.,0,1,1,2
Al Yamamah Dist.,0,1,1,2
Al Badiah Dist.,0,1,1,2
Al Masani Dist.,0,1,1,2
Al Qadisiyah Dist.,1,1,1,3
Al Safa Dist.,1,1,1,3
Al Olaya Dist.,0,1,1,2
Al Duraihemiyah Dist.,1,1,1,3
Al Iskan Dist.,0,1,1,2
Al Salam Dist.,1,1,1,3
Al Manar Dist.,1,1,1,3
East Naseem Dist.,1,1,1,3
Al Quds Dist.,0,1,1,2
Al Wadi Dist.,0,1,1,2
Al Nafel Dist.,1,1,1,3
Al Maseef Dist.,1,1,1,3
Al Taawun Dist.,1,1,1,3
Al Ezdihar Dist.,1,1,1,3
Al Andalus Dist.,0,1,1,2
Al Rawdah Dist.,0,1,1,2
Al Rawabi Dist.,0,1,1,2
Al Rayan Dist.,1,1,1,3
Dhahrat Al Badeah Dist.,1,1,1,3
Al Nadheem Dist.,1,1,1,3
Al Rimayah Dist.,1,1,1,3
Al Bariyah Dist.,0,1,1,2
Taybah Dist.,0,1,1,2
Mansuriyah Dist.,0,1,1,2
Dahiyat Namar Dist.,0,0,1,1
Al Misfat Dist.,0,1,1,2
Assafarat Dist.,0,1,1,2
Khashm Al An,0,1,1,2
Qurtubah Dist.,0,1,1,2
Tuwaiq Dist.,1,1,1,3
Al Awaly Dist.,0,1,1,2
Ar Rabie Dist.,0,1,1,2
Al Mughrazat Dist.,0,1,1,2
Al Sulay Dist.,1,1,1,3
Al Aqeeq Dist.,1,1,1,3
Al Nakheel Dist.,0,1,1,2
Al Ghadeer Dist.,0,1,1,2
Al Muruj Dist.,1,1,1,3
Al Oud Dist.,0,1,1,2
Thulaim Dist.,0,1,1,2
Al Shumaisi Dist.,0,1,1,2
Al Wisham Dist.,1,1,1,3
Salam Park,0,1,1,2
Al Dubiyah Dist.,0,1,1,2
Meakal Dist.,0,1,1,2
Jabrah Dist.,0,1,1,2
Al Qura Dist.,0,1,1,2
Al Marqab Dist.,0,1,1,2
Al Futah Dist.,0,1,1,2
Umm Saleem Dist.,0,1,1,2
Al Sahafah Dist.,1,1,1,3
Al Raed Dist.,1,1,1,3
West Oraija Dist.,1,1,1,3
Al Uraija Dist.,1,1,1,3
Middle Oraija Dist.,1,1,1,3
Al Hamra Dist.,1,1,1,3
Al Dar Al Baida Dist.,1,1,1,3
Al Butaiha Dist.,0,1,1,2
Al Zahra Dist.,0,1,1,2
Al Fayha Dist.,1,1,1,3
Al Mutamarat Dist.,1,1,1,3
Al Wusayta Dist.,0,1,1,2
Al Janadriyah Dist.,1,1,1,3
Ishbiliyah Dist.,0,1,1,2
Al Maizalah Dist.,0,1,1,2
Al Yarmuk Dist.,0,1,1,2
Al Munisiyah Dist.,1,1,1,3
Al Khuzama Dist.,0,0,1,1
Irqah,0,1,1,2
Dhahrat Laban Dist.,1,1,1,3
Hiteen Dist.,1,1,1,3
Al Malqa Dist.,1,1,1,3
Al Qairawan Dist.,1,1,1,3
Al Yasmeen Dist.,0,1,1,2
Al Arid Dist.,0,1,1,2
King Khalid Int. Airport,1,1,1,3
Al Narjis Dist.,0,1,1,2
Imam University,1,1,1,3
Banban Dist.,0,0,1,1
Al Rimal Dist.,0,1,1,2
Ghirnatah Dist.,0,1,1,2
Al Dahou Dist.,0,1,1,2
Al Ammajiyah Dist.,0,0,1,1
Hyt Dist.,0,1,1,2
Al Haer Dist.,0,1,1,2
Umm Al Shaal Dist.,0,0,1,1
Al Ghannamiyah Dist.,0,1,1,2
Oraid Dist.,0,1,1,2
Badr Dist.,0,1,1,2
Al Mahdiyah Dist.,0,1,1,2
King Saud University,1,1,1,3
West Naseem Dist.,0,1,1,2
Al Mishael Dist.,0,1,1,2
Al Nadwah Dist.,0,1,1,2
Al Rabiyah Dist.,0,1,1,2
Wady Laban Dist.,0,1,1,2
Al Sidrah Dist.,0,0,1,1
Al Tadamun Dist.,0,0,1,1
King Abdullah City (Energy),0,1,1,2
Al Basatin Dist.,0,1,1,2
Al Rehab Dist.,0,1,1,2
Al Majd Dist.,1,1,1,3
Al Danah Dist.,0,0,1,1
Al Risalah Dist.,0,0,1,1
Al Khair Dist.,0,1,1,2
Al Fursan Dist.,0,1,1,2
Al Sholah Dist.,0,0,1,1
Al Rayah Dist.,0,1,1,2
Al Zahour Dist.,0,0,1,1
Al Zaher Dist.,0,0,1,1
Al Marjan Dist.,0,0,1,1
Al Bayan Dist.,0,1,1,2
Al Ula Dist.,0,1,1,2
Al Mashriq Dist.,0,1,1,2
Al Nakhbah Dist.,0,1,1,2
Al Sahab Dist.,0,1,1,2
Al Wasam Dist.,0,0,1,1
